Case Number,APS Filed,Suspicious Activity,Gender,DOB,US Citizen,State,Product
2022-07-02019,No,ACH Fraud,Male,10/14/1955,Yes,California,Retirement Plan
2021-09-02671,No,ACH Fraud,Female,10/27/1954,Yes,Nevada,Life Insurance
2022-04-00940,No,Unusual/unexplained Activity,Female,2/28/1949,Yes,Massachusetts,Fixed Annuity
2021-06-01809,No,Fraudulent Patterns,Female,7/19/1952,Yes,Rhode Island,Life Insurance
2022-03-00718,No,Suspicious Call,Male,3/2/1942,Yes,Tennessee,Life Insurance
2022-02-00402,No,Fraudulent Patterns,Male,5/25/1972,Yes,Florida,Life Insurance
2022-07-02074,Yes,Elder Financial Exploitation,Male,5/6/1941,Yes,Florida,Retirement Plan
2021-05-01534,No,Account Takeover,Male,4/5/1948,Yes,Florida,Life Insurance
2022-10-03092,No,Money Laundering,Female,3/23/1970,Yes,California,Life Insurance
2022-10-03092,No,Money Laundering,Female,8/3/1969,Yes,California,Life Insurance
2021-12-03672,No,Elder Financial Exploitation,Female,10/27/1950,Yes,Maryland,Life Insurance
2022-04-01070,No,Identity Theft,Female,8/15/1953,Yes,Ohio,Life Insurance
2021-04-01057,No,Elder Financial Exploitation,Male,3/23/1936,Yes,Florida,Variable Annuity
2021-04-01057,No,Elder Financial Exploitation,Male,3/23/1936,Yes,Florida,Variable Annuity
2022-01-00238,No,Suspicious Call,Male,6/25/1926,Yes,Ohio,Life Insurance
2021-12-03562,No,Elder Financial Exploitation,Male,11/9/1946,Yes,California,Fixed Annuity
2021-12-03562,No,Elder Financial Exploitation,Male,6/25/1926,Yes,California,Fixed Annuity
2022-01-00010,No,Fraudulent Patterns,Female,9/24/1955,Yes,Texas,Fixed Annuity
2022-12-03841,No,Fraudulent Patterns,Female,3/22/1950,Yes,New York,Fixed Annuity
2022-05-01345,No,Account Takeover,Male,12/12/1957,Yes,Illinois,Fixed Annuity
2022-08-02453,No,Elder Financial Exploitation,Female,9/29/1942,Yes,Pennsylvania,Variable Annuity
2021-05-01408,No,Suspicious Call,Male,4/22/1953,Yes,California,Fixed Annuity
2021-06-01923,No,Unknown Third Party Payment,Female,8/28/1953,Yes,Georgia,Variable Annuity
2022-06-01799,No,Fraudulent Patterns,Male,5/14/1957,Yes,Florida,Variable Annuity
2022-04-01012,No,Unknown Source of Funds,Male,3/6/1985,Yes,New Jersey,Life Insurance
2021-10-03126,No,Money Laundering,Male,4/10/1965,Yes,Texas,Variable Annuity
2022-10-03118,No,Suspicious Call,Male,12/22/1959,Yes,Tennessee,Retirement Plan
2021-03-00798,No,Account Takeover,Male,2/7/1960,Yes,Illinois,Fixed Annuity
2022-04-01102,No,Suspicious Call,Male,11/3/1958,Yes,Nevada,Fixed Annuity
2022-09-02769,No,Identity Theft,Male,6/24/1966,Yes,New York,Fixed Annuity
2021-09-02880,No,Suspicious Call,Male,2/4/1959,Yes,Pennsylvania,Fixed Annuity
2021-07-02225,No,ACH Fraud,Male,5/13/1956,Yes,New York,Retirement Plan
2022-08-02392,No,ACH Fraud,Female,12/19/1961,Yes,New York,Retirement Plan
2022-03-00540,No,Money Laundering,Female,6/24/1973,Yes,Utah,Life Insurance
2021-05-01506,No,Unusual/unexplained Activity,Female,4/12/1943,Yes,Georgia,Fixed Annuity
2021-02-00376,No,ACH Fraud,Female,8/2/1960,Yes,Washington,Fixed Annuity
2022-06-01938,No,Fraudulent Documents,Male,11/10/1942,Yes,Illinois,Fixed Annuity
2022-12-03802,No,Fraudulent Documents,Female,4/28/1939,Yes,New Jersey,Fixed Annuity
2022-05-01266,No,Suspicious Call,Male,11/9/1977,Yes,Florida,Fixed Annuity
2021-05-01538,No,Account Takeover,Male,8/1/1967,Yes,Kentucky,Retirement Plan
2022-09-02813,No,Fraudulent Patterns,Male,4/10/1957,Yes,Iowa,Fixed Annuity
2021-04-00973,No,Elder Financial Exploitation,Male,11/2/1952,Yes,Iowa,Life Insurance
2022-12-03832,No,Money Laundering,Female,1/21/1975,Yes,North Carolina,Fixed Annuity
2021-10-02906,No,ACH Fraud,Male,10/15/1971,Yes,Arizona,Fixed Annuity
2021-06-01754,No,Unusual/unexplained Activity,Female,11/2/1968,Yes,Pennsylvania,Life Insurance
2022-08-02587,No,ACH Fraud,Male,1/28/1964,Yes,New York,Retirement Plan
2021-07-01995,No,Unusual/unexplained Activity,Female,1/1/1957,Yes,Florida,Retirement Plan
2022-03-00542,No,Check Fraud,Female,7/29/1937,Yes,Virginia,Fixed Annuity
2022-12-03815,No,Account Takeover,Female,11/9/1943,Yes,Rhode Island,Fixed Annuity
2022-12-03679,No,Check Fraud,Male,5/14/1950,Yes,Massachusetts,Fixed Annuity
2021-08-02273,No,Unusual/unexplained Activity,Female,8/6/1957,Yes,California,Life Insurance
2022-07-02128,No,Elder Financial Exploitation,Female,3/14/1934,Yes,New York,Variable Annuity
2021-11-03193,No,Elder Financial Exploitation,Female,2/28/1934,Yes,California,Fixed Annuity
2022-03-00834,No,Suspicious Call,Female,7/9/1959,Yes,Pennsylvania,Fixed Annuity
2021-01-00172,No,Unusual/unexplained Activity,Male,10/12/1952,Yes,New York,Variable Annuity
2022-11-03587,No,Money Laundering,Male,9/16/1946,Yes,New York,Fixed Annuity
2022-09-02746,No,Check Fraud,Female,3/7/1963,Yes,Illinois,Fixed Annuity
2022-03-00675,No,Unusual/unexplained Activity,Female,3/9/1980,Yes,Florida,Retirement Plan
2022-10-03109,No,Elder Financial Exploitation,Female,9/21/1956,Yes,New York,Retirement Plan
2022-08-02346,No,Account Takeover,Female,3/19/1952,Yes,California,Retirement Plan
2022-05-01376,No,ACH Fraud,Female,4/16/1946,Yes,California,Variable Annuity
2022-05-01232,No,Suspicious Call,Female,10/14/1984,Yes,Washington,Fixed Annuity
2022-04-01052,No,Suspicious Call,Male,10/30/1971,Yes,California,Fixed Annuity
2022-02-00308,No,Unusual/unexplained Activity,Female,2/18/1973,Yes,New Jersey,Fixed Annuity
2022-05-01430,No,ACH Fraud,Male,3/28/1968,Yes,California,Retirement Plan
2021-11-03274,No,Producer Misconduct,Female,8/8/1961,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Female,6/22/1952,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,1/21/1960,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,7/27/1954,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,7/13/1955,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Female,6/7/1966,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,5/12/1954,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,9/26/1959,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Female,10/22/1977,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Female,6/24/1958,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Female,4/5/1958,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,5/22/1957,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Female,1/9/1956,Yes,Montana,Fixed Annuity
2021-11-03274,No,Producer Misconduct,Male,12/15/1955,Yes,Montana,Fixed Annuity
2022-05-01417,No,Account Takeover,Female,10/24/1942,Yes,California,Fixed Annuity
2021-05-01321,No,Suspicious Call,Female,3/12/1950,Yes,Ohio,Fixed Annuity
2022-09-02771,No,Suspicious Call,Male,7/28/1947,Yes,Colorado,Fixed Annuity
2022-03-00639,No,Elder Financial Exploitation,Female,12/20/1936,Yes,Tennessee,Fixed Annuity
2022-04-01105,No,ACH Fraud,Male,3/26/1961,Yes,California,Retirement Plan
2021-02-00567,No,Account Takeover,Male,10/17/1955,Yes,California,Fixed Annuity
2021-08-02328,No,Elder Financial Exploitation,Male,7/28/1975,Yes,North Carolina,Fixed Annuity
2021-08-02527,No,Fraudulent Patterns,Female,9/29/1966,Yes,Indiana,Fixed Annuity
2022-04-01075,No,Fraudulent Patterns,Female,10/5/1948,Yes,Ohio,Fixed Annuity
2022-02-00442,No,Unknown Source of Funds,Female,9/29/1951,Yes,Massachusetts,Fixed Annuity
2022-02-00442,No,Unknown Source of Funds,Male,9/30/1953,Yes,Massachusetts,Fixed Annuity
2022-11-03273,No,Account Takeover,Male,3/9/1956,Yes,Arizona,Fixed Annuity
2021-03-00665,No,Fraudulent Patterns,Male,6/10/1960,Yes,Washington,Variable Annuity
2022-02-00417,No,Money Laundering,Male,9/21/1952,Yes,California,Variable Annuity
2022-02-00417,No,Money Laundering,Female,10/15/1954,Yes,California,Variable Annuity
2022-06-01803,No,Suspicious Call,Male,10/14/1945,Yes,California,Variable Annuity
2021-08-02274,No,Unusual/unexplained Activity,Female,10/26/1988,No,Washington,Life Insurance
2021-08-02274,No,Unusual/unexplained Activity,Male,9/28/1987,No,Washington,Life Insurance
2021-08-02391,No,Money Laundering,Male,1/7/1965,No,California,Life Insurance
2021-03-00774,No,Check Fraud,Male,12/23/1986,Yes,Colorado,Variable Annuity
2022-11-03356,No,Suspicious Call,Male,12/28/1982,Yes,Arizona,Variable Annuity
2022-04-01225,No,Suspicious Call,Male,6/2/1965,Yes,Puerto Rico,Variable Annuity
2021-12-03515,No,Unknown Source of Funds,Male,12/1/1958,Yes,Texas,Fixed Annuity
2022-06-01676,No,Fraudulent Patterns,Female,5/17/1968,Yes,South Carolina,Variable Annuity
2022-03-00556,No,Money Laundering,Male,10/26/1979,Yes,Illinois,Life Insurance
2021-02-00551,No,Suspicious Call,Female,2/6/1957,Yes,Florida,Variable Annuity
2022-04-01164,No,Elder Financial Exploitation,Female,10/27/1947,Yes,Ohio,Variable Annuity
2022-03-00600,No,Fraudulent Documents,Female,8/5/1940,Yes,New York,Variable Annuity
2022-03-00600,No,Fraudulent Documents,Male,1/23/1968,Yes,New York,Variable Annuity
2022-03-00600,No,Fraudulent Documents,Female,7/26/1966,Yes,New York,Variable Annuity
2022-01-00035,No,Producer Misconduct,Female,11/25/1956,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,7/16/1962,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,8/1/1958,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,12/8/1941,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,6/24/1959,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,10/26/1954,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,3/7/1963,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,3/9/1958,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,1/25/1958,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Male,10/21/1956,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Male,12/27/1954,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Male,10/17/1955,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Female,7/20/1952,Yes,Colorado,Fixed Annuity
2022-01-00035,No,Producer Misconduct,Male,8/2/1953,Yes,Colorado,Fixed Annuity
2022-04-00920,No,Elder Financial Exploitation,Female,3/8/1935,Yes,California,Fixed Annuity
2022-09-02649,No,Elder Financial Exploitation,Female,6/22/1939,Yes,Arizona,Variable Annuity
2022-08-02212,No,Unusual/unexplained Activity,Female,12/1/1969,Yes,New York,Life Insurance
2022-08-02212,No,Unusual/unexplained Activity,Male,8/19/1968,No,New York,Life Insurance
2021-10-03033,No,Producer Misconduct,Female,9/7/1963,Yes,North Carolina,Variable Annuity
2022-09-02789,No,Fraudulent Patterns,Male,8/22/1956,Yes,Texas,Life Insurance
2022-08-02250,No,Elder Financial Exploitation,Female,2/13/1950,Yes,Florida,Variable Annuity
2022-08-02505,No,Elder Financial Exploitation,Female,4/26/1945,Yes,Ohio,Retirement Plan
2021-04-00978,No,Producer Misconduct,Male,10/28/1971,Yes,Florida,Fixed Annuity
2021-04-00978,No,Producer Misconduct,Male,9/27/1937,Yes,Florida,Fixed Annuity
2021-07-02027,No,Fraudulent Patterns,Female,3/24/1948,Yes,Minnesota,Variable Annuity
2022-02-00320,No,ACH Fraud,Male,4/29/1976,Yes,New York,Retirement Plan
2021-05-01388,No,Unusual/unexplained Activity,Male,2/24/1987,Yes,Texas,Retirement Plan
2021-05-01388,No,Unusual/unexplained Activity,Female,7/10/1984,Yes,Texas,Retirement Plan
2022-11-03396,No,Fraudulent Documents,Male,1/24/1955,Yes,South Carolina,Variable Annuity
2022-05-01464,No,Suspicious Call,Female,7/3/1967,Yes,New Jersey,Variable Annuity
2021-05-01341,No,Fraudulent Patterns,Female,10/7/1945,Yes,Texas,Variable Annuity
2022-12-03739,No,Fraudulent Documents,Male,11/20/1946,Yes,California,Variable Annuity
2021-08-02340,No,ACH Fraud,Male,2/17/1958,Yes,New York,Retirement Plan
2022-05-01334,No,Suspicious Call,Male,2/6/1958,Yes,Ohio,Variable Annuity
2021-08-02390,No,Suspicious Call,Female,3/13/1937,Yes,Ohio,Variable Annuity
2021-08-02508,No,Suspicious Call,Male,12/5/1945,Yes,Ohio,Variable Annuity
2022-02-00434,No,ACH Fraud,Female,8/5/1932,Yes,Texas,Variable Annuity
2022-09-02842,No,Unusual/unexplained Activity,Female,12/8/1968,Yes,Michigan,Life Insurance
2022-09-02842,No,Unusual/unexplained Activity,Male,2/14/1973,Yes,Michigan,Life Insurance
2022-08-02410,No,Elder Financial Exploitation,Female,7/26/1948,Yes,Florida,Fixed Annuity
2022-08-02410,No,Elder Financial Exploitation,Male,2/8/1943,Yes,Florida,Fixed Annuity
2022-05-01491,No,Fraudulent Documents,Male,2/11/1954,Yes,Florida,Retirement Plan
2022-05-01521,No,Account Takeover,Male,2/13/1953,Yes,Illinois,Variable Annuity
2022-10-02960,No,Suspicious Call,Male,6/20/1962,Yes,California,Retirement Plan
2021-03-00662,No,Unusual/unexplained Activity,Female,2/17/1966,No,Tennessee,Life Insurance
2022-11-03373,No,Producer Misconduct,Female,2/13/1957,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,9/11/1958,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,2/7/1951,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,8/1/1968,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,3/6/1973,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,7/30/1974,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,9/14/1961,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,10/17/1945,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,8/22/1959,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,12/25/1957,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,2/29/1960,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,2/24/1954,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,10/10/1952,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,5/23/1949,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,8/19/1948,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,9/7/1953,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,2/18/1961,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,9/29/1965,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,5/24/1945,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,6/24/1966,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,8/10/1954,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,8/13/1963,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,1/6/1970,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,12/6/1969,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,9/7/1953,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,9/18/1965,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,1/13/1967,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,11/22/1968,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,2/13/1969,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,3/14/1951,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,1/8/1948,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,7/29/1951,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,10/8/1958,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,2/8/1969,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,11/12/1948,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Male,8/23/1961,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,9/21/1950,Yes,Illinois,Fixed Annuity
2022-11-03373,No,Producer Misconduct,Female,2/18/1964,Yes,Illinois,Fixed Annuity
2021-01-00079,No,Fraudulent Patterns,Male,5/1/1952,No,Florida,Variable Annuity
2021-09-02663,No,Fraudulent Documents,Male,12/13/1979,Yes,Texas,Variable Annuity
2022-03-00793,No,Suspicious Call,Female,10/28/1945,Yes,California,Variable Annuity
2022-12-03763,No,Identity Theft,Female,5/20/1965,Yes,California,Variable Annuity
2022-06-01820,Yes,Elder Financial Exploitation,Male,6/8/1954,Yes,Ohio,Retirement Plan
2022-04-01114,No,Suspicious Call,Male,10/28/1944,Yes,Texas,Variable Annuity
2022-02-00445,No,Elder Financial Exploitation,Female,3/16/1942,Yes,Florida,Variable Annuity
2022-07-02200,No,Fraudulent Patterns,Male,6/9/1941,Yes,Texas,Variable Annuity
2022-10-03058,No,ACH Fraud,Male,9/7/1946,Yes,Florida,Retirement Plan
2022-12-03626,No,Suspicious Call,Female,9/17/1965,Yes,Ohio,Variable Annuity
2022-11-03489,No,Account Takeover,Female,10/29/1942,Yes,Ohio,Life Insurance
2022-11-03489,No,Account Takeover,Male,6/5/1939,Yes,Ohio,Life Insurance
2021-06-01906,No,Unusual/unexplained Activity,Male,5/18/1963,Yes,Foreign,Variable Annuity
2021-06-01684,No,Account Takeover,Male,1/23/1954,Yes,Maryland,Retirement Plan
2022-11-03567,No,Unusual/unexplained Activity,Male,11/22/1979,Yes,Ohio,Variable Annuity
2021-11-03188,No,Suspicious Call,Male,8/25/1973,Yes,Virginia,Variable Annuity
2021-03-00630,No,Elder Financial Exploitation,Female,10/10/1949,Yes,Texas,Variable Annuity
2021-03-00882,No,Elder Financial Exploitation,Female,8/5/1931,Yes,New York,Variable Annuity
2021-08-02472,No,Unusual/unexplained Activity,Female,11/16/1936,Yes,Florida,Variable Annuity
2021-08-02472,No,Unusual/unexplained Activity,Male,7/15/1955,Yes,Florida,Variable Annuity
2022-04-01095,No,ACH Fraud,Male,2/17/1959,Yes,New York,Retirement Plan
2022-09-02788,No,Fraudulent Patterns,Female,11/11/1954,Yes,Texas,Life Insurance
2022-09-02733,No,Unknown Source of Funds,Female,7/2/1952,Yes,South Carolina,Life Insurance
2022-07-02018,No,Account Takeover,Male,8/1/1944,Yes,Texas,Variable Annuity
2021-04-01241,No,Unusual/unexplained Activity,Female,12/2/1987,No,Washington,Life Insurance
2021-09-02589,Yes,Producer Misconduct,Female,8/8/1948,Yes,New York,Variable Annuity
2022-02-00340,No,Account Takeover,Male,7/27/1948,Yes,Wisconsin,Variable Annuity
2022-02-00340,No,Account Takeover,Female,9/23/1946,Yes,Wisconsin,Variable Annuity
2022-02-00340,No,Account Takeover,Female,10/19/1931,Yes,Wisconsin,Variable Annuity
2022-02-00340,No,Account Takeover,Female,5/29/1948,Yes,Wisconsin,Variable Annuity
2022-02-00340,No,Account Takeover,Male,7/8/1943,Yes,Wisconsin,Variable Annuity
2022-02-00340,No,Account Takeover,Female,4/16/1936,Yes,Wisconsin,Variable Annuity
2021-07-01977,No,Suspicious Call,Male,12/8/1969,Yes,Texas,Variable Annuity
2021-01-00231,No,Suspicious Call,Female,5/19/1933,No,Hawaii,Variable Annuity
2022-05-01394,No,ACH Fraud,Female,9/23/1933,Yes,Arkansas,Fixed Annuity
2022-08-02329,No,Money Laundering,Female,9/17/1962,Yes,Michigan,Life Insurance
2022-08-02329,No,Money Laundering,Male,9/15/1956,Yes,Michigan,Life Insurance
2022-08-02456,No,Suspicious Call,Male,2/7/1966,Yes,Pennsylvania,Variable Annuity
2021-04-01046,No,Account Takeover,Female,2/24/1964,Yes,California,Variable Annuity
2022-07-02038,No,Fraudulent Patterns,Male,11/19/1947,Yes,Indiana,Variable Annuity
2021-12-03785,No,Account Takeover,Male,4/10/1920,Yes,California,Variable Annuity
2022-07-02096,No,Account Takeover,Male,1/19/1949,Yes,Oklahoma,Retirement Plan
2022-01-00225,No,ACH Fraud,Male,5/4/1962,Yes,Florida,Retirement Plan
2022-02-00329,No,Unusual/unexplained Activity,Female,1/26/1970,Yes,Minnesota,Life Insurance
2022-05-01315,No,ACH Fraud,Male,7/22/1963,Yes,Georgia,Retirement Plan
2022-05-01340,No,Suspicious Call,Male,5/23/1963,Yes,Louisiana,Retirement Plan
2021-09-02720,No,Money Laundering,Male,12/13/1965,Yes,New Jersey,Life Insurance
2022-02-00433,No,Elder Financial Exploitation,Male,11/8/1944,Yes,Illinois,Retirement Plan
2022-06-01923,No,Elder Financial Exploitation,Male,5/29/1934,Yes,New York,Variable Annuity
2021-09-02682,No,Suspicious Call,Female,8/8/1964,Yes,Illinois,Retirement Plan
2022-05-01327,No,Suspicious Call,Male,5/11/1937,Yes,Alabama,Variable Annuity
2021-07-02077,No,Unusual/unexplained Activity,Female,7/19/1943,Yes,Foreign,Variable Annuity
2021-07-02077,No,Unusual/unexplained Activity,Male,6/16/1932,Yes,Foreign,Variable Annuity
2021-06-01924,No,ACH Fraud,Male,3/16/1950,Yes,Georgia,Retirement Plan
2021-06-01924,No,ACH Fraud,Male,10/18/1966,Yes,Georgia,Retirement Plan
2021-01-00151,No,Suspicious Call,Male,5/26/1937,No,New York,Retirement Plan
2022-08-02518,No,Unknown Source of Funds,Male,12/15/1971,Yes,Ohio,Life Insurance
2022-02-00328,No,Elder Financial Exploitation,Male,11/25/1935,Yes,Florida,Variable Annuity
2021-07-02057,No,Account Takeover,Male,3/18/1963,Yes,Tennessee,Retirement Plan
2021-10-02920,No,Fraudulent Patterns,Female,5/4/1954,Yes,New Jersey,Variable Annuity
2021-10-02920,No,Fraudulent Patterns,Male,11/23/1947,Yes,New Jersey,Variable Annuity
2021-04-01184,No,Elder Financial Exploitation,Female,11/15/1943,Yes,Delaware,Variable Annuity
2021-11-03232,No,Account Takeover,Female,2/10/1954,Yes,Ohio,Retirement Plan
2022-03-00849,No,Elder Financial Exploitation,Female,11/5/1940,Yes,Florida,Fixed Annuity
2022-01-00012,No,Unusual/unexplained Activity,Female,11/23/1947,Yes,Foreign,Fixed Annuity
2022-03-00851,No,Unknown Source of Funds,Female,10/10/1964,Yes,Texas,Life Insurance
2021-01-00063,No,Unusual/unexplained Activity,Male,7/28/1958,Yes,Florida,Fixed Annuity
2022-03-00629,No,Check Fraud,Female,10/9/1962,Yes,California,Retirement Plan
2021-01-00119,No,Fraudulent Documents,Male,5/6/1949,Yes,North Dakota,Life Insurance
2021-02-00594,No,Check Fraud,Male,10/10/1971,Yes,California,Retirement Plan
2022-05-01575,No,Check Fraud,Male,6/17/1967,Yes,New York,Retirement Plan
2021-12-03749,No,Check Fraud,Male,3/3/1947,Yes,Missouri,Retirement Plan
2022-09-02612,No,Unusual/unexplained Activity,Male,9/2/1954,Yes,Michigan,Life Insurance
2022-09-02612,No,Unusual/unexplained Activity,Female,5/28/1954,Yes,Michigan,Life Insurance
2022-12-03817,No,Unknown Third Party Payment,Female,12/27/1972,Yes,Ohio,Retirement Plan
2021-08-02452,No,Elder Financial Exploitation,Female,11/5/1930,Yes,Michigan,Fixed Annuity
2022-10-03221,No,Elder Financial Exploitation,Female,6/15/1957,Yes,California,Retirement Plan
2021-04-00966,No,Suspicious Call,Male,11/12/1987,Yes,Indiana,Retirement Plan
2022-02-00301,No,Fraudulent Patterns,Female,8/17/1979,Yes,California,Retirement Plan
2021-08-02252,No,Unusual/unexplained Activity,Female,10/8/1949,Yes,California,Life Insurance
2022-09-02693,No,Unusual/unexplained Activity,Female,12/7/1982,Yes,California,Life Insurance
2022-09-02693,No,Unusual/unexplained Activity,Male,7/16/1984,Yes,California,Life Insurance
2022-03-00864,No,Suspicious Call,Female,8/15/1953,Yes,Ohio,Retirement Plan
